"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow_NPV_dredge_ncheck_buff9"," -22372","   -563"," 9.4e+02","   4314","  11439"," 18054"," 24882"," 29536","  60572","  12130","0.0659","0","0.9341"
"y.cashflow_NPV_dredge_ncheck_buff10"," -27082","   -335"," 1.1e+03","   4595","  12016"," 18661"," 25293"," 29837","  69353","  12596","0.0605","0","0.9395"
"y.cashflow_NPV_dredge_ncheck_buff11"," -19632","    -22"," 1.4e+03","   4820","  12453"," 19388"," 26486"," 31066","  74444","  13201","0.0512","0","0.9488"
"y.cashflow_NPV_dredge_ncheck_buff12"," -18245","    103"," 1.5e+03","   4874","  12979"," 19924"," 26845"," 31704","  70228","  13537","0.0451","0","0.9549"
"y.cashflow_NPV_dredge_ncheck_buff13"," -11778","    238"," 1.8e+03","   4975","  13302"," 20121"," 26941"," 31786","  75767","  13819","0.0395","0","0.9605"
"y.cashflow_NPV_dredge_ncheck_buff14","  -9735","    319"," 1.9e+03","   5015","  13527"," 20510"," 27507"," 32717","  73558","  14102","0.0384","0","0.9616"
"y.cashflow_NPV_dredge_ncheck_buff15"," -15727","    441"," 2.0e+03","   5015","  13740"," 20895"," 27738"," 32295","  74409","  14229","0.0331","0","0.9669"
"y.cashflow_NPV_dredge_ncheck_buff16"," -15794","    512"," 2.0e+03","   5028","  14020"," 21123"," 28177"," 32664","  74306","  14443","0.0305","0","0.9695"
"y.cashflow_NPV_dredge_ncheck_buff17"," -22710","    472"," 2.1e+03","   4967","  14342"," 21363"," 28390"," 32965","  75653","  14578","0.0332","0","0.9668"
"y.cashflow_NPV_dredge_ncheck_buff18","  -4660","    518"," 2.1e+03","   4842","  14447"," 21453"," 28194"," 32618","  68712","  14592","0.0318","0","0.9682"
"y.cashflow_NPV_dredge_ncheck_buff19","  -6721","    570"," 2.0e+03","   4667","  14672"," 21721"," 28281"," 32880","  87035","  14727","0.0294","0","0.9706"
"y.cashflow_NPV_dredge_ncheck_buff20","  -5966","    508"," 2.0e+03","   4619","  14795"," 21764"," 28388"," 32986","  74391","  14739","0.0264","0","0.9736"
"y.cashflow_NPV_dredge_ncheck_buff21","  -3093","    547"," 2.0e+03","   4292","  15000"," 21744"," 28319"," 32929","  70106","  14732","0.0277","0","0.9723"
"y.cashflow_NPV_dredge_ncheck_buff22","  -2229","    477"," 1.9e+03","   4154","  15140"," 22072"," 28421"," 32722","  72305","  14779","0.0294","0","0.9706"
"y.cashflow_NPV_dredge_ncheck_buff23","  -3472","    458"," 1.8e+03","   4000","  15152"," 22015"," 28293"," 32411","  72610","  14723","0.0293","0","0.9707"
"y.cashflow_NPV_dredge_ncheck_buff24","  -3672","    553"," 1.7e+03","   3808","  15233"," 21936"," 28126"," 32224","  68839","  14715","0.0257","0","0.9743"
"y.cashflow_NPV_dredge_ncheck_buff25","  -2016","    470"," 1.6e+03","   3554","  15117"," 21992"," 28310"," 32473","  76216","  14627","0.0299","0","0.9701"
"y.cashflow_NPV_dredge_ncheck_buff26","  -1845","    417"," 1.5e+03","   3398","  15237"," 22027"," 28169"," 32240","  73960","  14600","0.0270","0","0.9730"
"y.cashflow_NPV_dredge_ncheck_buff27","  -2010","    421"," 1.4e+03","   3236","  15246"," 22043"," 28151"," 32094","  63413","  14541","0.0281","0","0.9719"
"y.cashflow_NPV_dredge_ncheck_buff28","  -2105","    385"," 1.4e+03","   3085","  15122"," 22030"," 28139"," 32123","  71060","  14465","0.0274","0","0.9726"
"y.cashflow_NPV_dredge_ncheck_buff29","  -2491","    317"," 1.3e+03","   2853","  15187"," 21666"," 27846"," 31803","  82506","  14320","0.0268","0","0.9732"
"y.cashflow_NPV_dredge_ncheck_buff30","  -2221","    356"," 1.2e+03","   2700","  15104"," 21711"," 27660"," 31664","  71917","  14213","0.0290","0","0.9710"
"y.cashflow_NPV_dredge_ncheck_nbuff1"," -55164"," -26595","-2.3e+04"," -17001"," -15048"," -9547"," -1347","  1114","  41119"," -13394","0.9280","0","0.0720"
"y.cashflow_NPV_dredge_ncheck_nbuff2"," -33843"," -10280","-6.6e+03","   -374","   1918","  5112"," 11322"," 15277","  53103","   2234","0.2978","0","0.7022"
"y.cashflow_NPV_dredge_ncheck_nbuff3"," -38797","  -9403","-6.0e+03","   -311","   2404","  5771"," 11846"," 15886","  54011","   2721","0.2814","0","0.7186"
"y.cashflow_NPV_dredge_ncheck_nbuff4"," -56506","  -8459","-5.2e+03","   -159","   2601","  6251"," 12096"," 16120","  41784","   3122","0.2662","0","0.7338"
"y.cashflow_NPV_dredge_ncheck_nbuff5"," -38470","  -7746","-4.8e+03","    -77","   2525","  6315"," 11951"," 15931","  65250","   3188","0.2586","0","0.7414"
"y.cashflow_NPV_dredge_ncheck_nbuff6"," -31422","  -7110","-4.0e+03","      3","   2330","  5699"," 11102"," 14947","  42940","   3039","0.2495","0","0.7505"
"y.cashflow_NPV_dredge_ncheck_nbuff7"," -31210","  -6403","-3.0e+03","    172","   2419","  5603"," 10777"," 14431","  45428","   3161","0.2317","0","0.7683"
"y.cashflow_NPV_dredge_ncheck_nbuff8"," -27074","  -5156","-2.3e+03","    399","   2555","  5457"," 10364"," 13953","  50598","   3297","0.2116","0","0.7884"
"y.cashflow_NPV_dredge_ncheck_nbuff9"," -29377","  -3981","-1.6e+03","    606","   2655","  5482","  9993"," 13164","  41603","   3409","0.1902","0","0.8098"
"y.cashflow_NPV_dredge_ncheck_nbuff10"," -26688","  -3169","-1.0e+03","    794","   2759","  5299","  9497"," 12803","  41472","   3463","0.1685","0","0.8315"
"y.cashflow_NPV_dredge_ncheck_nbuff11"," -30247","  -2115","-5.5e+02","    998","   2945","  5330","  9079"," 12324","  37827","   3605","0.1499","0","0.8501"
"y.cashflow_NPV_dredge_ncheck_nbuff12"," -24561","  -1532","-3.1e+02","   1148","   2983","  5316","  8571"," 11482","  46209","   3615","0.1329","0","0.8671"
"y.cashflow_NPV_dredge_ncheck_nbuff13"," -17492","   -963","-1.9e+02","   1271","   3039","  5167","  8120"," 10744","  32197","   3607","0.1244","0","0.8756"
"y.cashflow_NPV_dredge_ncheck_nbuff14"," -17705","   -667","-8.6e+01","   1429","   3150","  5209","  8028"," 10276","  32487","   3677","0.1134","0","0.8866"
