"","5%","50%","95%","enbPa","elPa","elSq","eol","optimalChoice"
"cashflow_NPV_ndredge_check_nbuff2"," -10568","   1314"," 14815","   1702","1.8e+03","3.5e+03","1.8e+03","PA"
"cashflow_NPV_ndredge_check_nbuff3","  -9286","   2130"," 15265","   2510","1.5e+03","4.0e+03","1.5e+03","PA"
"cashflow_NPV_ndredge_check_nbuff4","  -8175","   2794"," 16205","   3276","1.3e+03","4.5e+03","1.3e+03","PA"
"cashflow_NPV_ndredge_check_nbuff5","  -7630","   3110"," 16666","   3761","1.1e+03","4.9e+03","1.1e+03","PA"
"cashflow_NPV_ndredge_check_nbuff6","  -6399","   3395"," 17320","   4143","9.2e+02","5.1e+03","9.2e+02","PA"
"cashflow_NPV_ndredge_check_nbuff7","  -5324","   3439"," 16908","   4371","7.6e+02","5.1e+03","7.6e+02","PA"
"cashflow_NPV_ndredge_check_nbuff8","  -4621","   3391"," 16271","   4319","6.2e+02","4.9e+03","6.2e+02","PA"
"cashflow_NPV_ndredge_check_nbuff9","  -3454","   3481"," 16053","   4519","4.8e+02","5.0e+03","4.8e+02","PA"
"cashflow_NPV_ndredge_check_nbuff10","  -2660","   3699"," 15743","   4679","4.0e+02","5.1e+03","4.0e+02","PA"
"cashflow_NPV_ndredge_check_nbuff11","  -1723","   3994"," 15784","   4916","2.9e+02","5.2e+03","2.9e+02","PA"
"cashflow_NPV_ndredge_check_nbuff12","  -1236","   4230"," 15500","   5117","2.3e+02","5.4e+03","2.3e+02","PA"
"cashflow_NPV_ndredge_check_nbuff13","   -851","   4339"," 15333","   5220","1.7e+02","5.4e+03","1.7e+02","PA"
"cashflow_NPV_ndredge_check_nbuff14","   -650","   4567"," 15034","   5343","1.3e+02","5.5e+03","1.3e+02","PA"
"cashflow_NPV_ndredge_check_nbuff15","   -633","   4730"," 14439","   5305","1.2e+02","5.4e+03","1.2e+02","PA"
"cashflow_NPV_ndredge_check_nbuff16","   -473","   4801"," 14185","   5373","9.0e+01","5.5e+03","9.0e+01","PA"
"cashflow_NPV_ndredge_check_nbuff17","   -450","   4916"," 13871","   5393","7.7e+01","5.5e+03","7.7e+01","PA"
"cashflow_NPV_ndredge_check_nbuff18","   -392","   4877"," 13210","   5268","7.2e+01","5.3e+03","7.2e+01","PA"
"cashflow_NPV_ndredge_check_nbuff19","   -322","   4913"," 13010","   5271","5.7e+01","5.3e+03","5.7e+01","PA"
"cashflow_NPV_ndredge_check_nbuff20","   -331","   4908"," 12437","   5170","5.3e+01","5.2e+03","5.3e+01","PA"
"cashflow_NPV_ndredge_check_nbuff21","   -264","   4836"," 12006","   5042","4.7e+01","5.1e+03","4.7e+01","PA"
"cashflow_NPV_ndredge_check_nbuff22","   -282","   4739"," 11639","   4911","4.5e+01","5.0e+03","4.5e+01","PA"
"cashflow_NPV_ndredge_check_nbuff23","   -263","   4620"," 11354","   4797","4.1e+01","4.8e+03","4.1e+01","PA"
"cashflow_NPV_ndredge_check_nbuff24","   -234","   4508"," 11135","   4640","3.7e+01","4.7e+03","3.7e+01","PA"
"cashflow_NPV_ndredge_check_nbuff25","   -202","   4314"," 10534","   4468","3.4e+01","4.5e+03","3.4e+01","PA"
"cashflow_NPV_ndredge_check_nbuff26","   -175","   4127"," 10117","   4290","3.0e+01","4.3e+03","3.0e+01","PA"
"cashflow_NPV_ndredge_check_nbuff27","   -202","   3973","  9764","   4111","3.0e+01","4.1e+03","3.0e+01","PA"
"cashflow_NPV_ndredge_check_nbuff28","   -163","   3800","  9366","   3947","2.7e+01","4.0e+03","2.7e+01","PA"
"cashflow_NPV_ndredge_check_nbuff29","   -169","   3651","  8827","   3761","2.6e+01","3.8e+03","2.6e+01","PA"
"cashflow_NPV_ndredge_check_nbuff30","   -174","   3471","  8451","   3583","2.7e+01","3.6e+03","2.7e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff1","-244986","-155823","  -356","-130522","1.3e+05","1.7e+02","1.7e+02","SQ"
"cashflow_NPV_ndredge_ncheck_buff2","  -8143","   6140"," 22433","   6477","1.1e+03","7.6e+03","1.1e+03","PA"
"cashflow_NPV_ndredge_ncheck_buff3","  -7535","   7108"," 22892","   7154","1.0e+03","8.2e+03","1.0e+03","PA"
"cashflow_NPV_ndredge_ncheck_buff4","  -6752","   7821"," 24269","   7903","9.1e+02","8.8e+03","9.1e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff5","  -6034","   8244"," 25072","   8460","8.0e+02","9.3e+03","8.0e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff6","  -5099","   8784"," 26255","   9056","6.9e+02","9.7e+03","6.9e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff7","  -4360","   9490"," 26890","   9608","6.1e+02","1.0e+04","6.1e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff8","  -3237","   9755"," 27546","  10055","4.6e+02","1.1e+04","4.6e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff9","  -2379","  10194"," 28772","  10550","3.7e+02","1.1e+04","3.7e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff10","  -2060","  10702"," 28482","  10719","3.5e+02","1.1e+04","3.5e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff11","  -1536","  11263"," 29735","  11229","2.8e+02","1.2e+04","2.8e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff12","  -1259","  11674"," 29790","  11491","2.5e+02","1.2e+04","2.5e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff13","   -988","  11802"," 29723","  11634","1.8e+02","1.2e+04","1.8e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff14","   -931","  12366"," 29884","  11889","1.6e+02","1.2e+04","1.6e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff15","   -820","  12562"," 30103","  12083","1.5e+02","1.2e+04","1.5e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff16","   -707","  12819"," 30066","  12211","1.2e+02","1.2e+04","1.2e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff17","   -596","  13214"," 30253","  12385","1.0e+02","1.2e+04","1.0e+02","PA"
"cashflow_NPV_ndredge_ncheck_buff18","   -519","  13401"," 30565","  12497","8.7e+01","1.3e+04","8.7e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff19","   -508","  13720"," 30576","  12645","8.3e+01","1.3e+04","8.3e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff20","   -489","  13775"," 30384","  12709","7.7e+01","1.3e+04","7.7e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff21","   -457","  14016"," 30070","  12768","6.9e+01","1.3e+04","6.9e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff22","   -414","  14109"," 30305","  12879","6.3e+01","1.3e+04","6.3e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff23","   -389","  14051"," 30458","  12876","5.9e+01","1.3e+04","5.9e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff24","   -353","  14185"," 30038","  12885","5.4e+01","1.3e+04","5.4e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff25","   -350","  14130"," 30029","  12848","5.2e+01","1.3e+04","5.2e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff26","   -312","  14311"," 29699","  12887","4.7e+01","1.3e+04","4.7e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff27","   -314","  14247"," 29580","  12820","4.5e+01","1.3e+04","4.5e+01","PA"
"cashflow_NPV_ndredge_ncheck_buff28","   -267","  14196"," 29460","  12771","4.0e+01","1.3e+04","4.0e+01","PA"
